image_id,hazard_type,worker_count,worker_position,bbox_x,bbox_y,bbox_width,bbox_height,lighting,has_hazard
IMG_1409,missing_guardrail,4,left,0.06976896426257195,0.05124758808575375,0.24813354893353515,0.20907330674966995,shadow,1
IMG_1520,none,1,left,0.0,0.0,0.0,0.0,bright,0
IMG_9279,no_helmet,9,left,0.35800980646120173,0.35066248679511797,0.18390396419233174,0.18984180925677072,dim,1
IMG_3615,none,6,center,0.07773974990589078,0.4786065361033906,0.16731890902252536,0.11854916867602959,bright,1
IMG_6635,none,5,center,0.0,0.0,0.0,0.0,bright,0
IMG_9785,none,1,center,0.0,0.0,0.0,0.0,bright,0
IMG_6925,none,5,left,0.0,0.0,0.0,0.0,shadow,0
IMG_1750,unsafe_scaffold,5,left,0.42765886050757346,0.43324183337763483,0.17602524500783323,0.19068206047368708,dim,1
IMG_7065,missing_guardrail,4,right,0.13348891102455668,0.468327293856247,0.2296070770493187,0.22182620113339763,bright,1
IMG_3677,none,7,center,0.4947616753182976,0.3199998799270464,0.21138994875492922,0.2369228501979749,bright,1
IMG_1525,missing_guardrail,7,center,0.03309430260577362,0.4565680620927725,0.21343601029570045,0.24358285414379519,bright,1
IMG_7482,none,4,left,0.0,0.0,0.0,0.0,dim,0
IMG_5040,missing_guardrail,10,center,0.4489114418012385,0.19970025257019863,0.14386415183145668,0.29950752129902203,shadow,1
IMG_2489,none,1,left,0.0,0.0,0.0,0.0,bright,0
IMG_7916,no_helmet,7,center,0.29794421418056405,0.23402494389233863,0.15028282399636264,0.21064517924305748,bright,1
IMG_9797,missing_guardrail,6,left,0.14675006432371307,0.07907887717233486,0.10064906322034586,0.24441841226198216,shadow,1
IMG_9201,none,2,right,0.0,0.0,0.0,0.0,bright,0
IMG_9317,none,5,left,0.0,0.0,0.0,0.0,bright,0
IMG_3646,none,5,right,0.0,0.0,0.0,0.0,bright,0
IMG_9005,none,1,left,0.0,0.0,0.0,0.0,dim,0
IMG_4923,none,1,left,0.0,0.0,0.0,0.0,shadow,0
IMG_2403,none,2,right,0.3829172146534939,0.0641957322498814,0.19505647561974626,0.20996071869898877,dim,1
IMG_4470,none,5,right,0.0,0.0,0.0,0.0,shadow,0
IMG_6107,none,6,center,0.4498070423214727,0.22574307069556487,0.1495811227332016,0.11280517926526899,bright,1
IMG_4608,no_helmet,2,right,0.31555147863504945,0.11447089190557719,0.28108400260122557,0.2719270800507493,bright,1
IMG_5562,none,4,right,0.0661559243625125,0.4677571202903355,0.2142086186650569,0.19453420526235882,dim,1
IMG_4119,none,1,left,0.0,0.0,0.0,0.0,shadow,0
IMG_6804,none,4,center,0.0,0.0,0.0,0.0,dim,0
IMG_2612,no_helmet,7,right,0.16965130269748158,0.43083626817639553,0.14973126678405713,0.1380417816881623,dim,1
IMG_7912,unsafe_scaffold,5,center,0.12490322394105025,0.4616327996380064,0.18862614901069139,0.27226982095236607,shadow,1
IMG_1828,no_helmet,2,left,0.08315555530195701,0.24282056272535923,0.14274945983983633,0.18020805850989052,bright,1
IMG_7209,no_helmet,7,center,0.4632590367796667,0.3925646783970608,0.15704984578938405,0.2393183007200325,shadow,1
IMG_3536,none,2,center,0.0,0.0,0.0,0.0,bright,0
IMG_9883,no_helmet,6,left,0.02507116863197678,0.23839425855446744,0.28387742616641504,0.20622522705410826,bright,1
IMG_4044,no_helmet,10,left,0.3376062768020451,0.1176019475004656,0.12397732278942485,0.2780574628258875,bright,1
IMG_2343,none,10,right,0.26139135776597944,0.4673531288682136,0.14085183988470729,0.24323836015788294,bright,1
